{'dataset_params': {'im_path': 'placeholder', 'im_channels': 1, 'im_size': 116, 'name': 'ICDFC'}, 'diffusion_params': {'num_timesteps': 100, 'beta_start': 0.00085, 'beta_end': 0.012}, 'ldm_params': {'down_channels': [128, 256, 384, 512], 'mid_channels': [512, 384], 'down_sample': [True, True, True], 'attn_down': [True, True, True], 'time_emb_dim': 512, 'norm_channels': 32, 'num_heads': 8, 'conv_out_channels': 128, 'num_down_layers': 1, 'num_mid_layers': 2, 'num_up_layers': 1, 'condition_config': {'condition_types': ['text', 'image'], 'text_condition_config': {'text_embed_model': 'clip', 'train_text_embed_model': False, 'text_embed_dim': 512, 'cond_drop_prob': 0.1}, 'image_condition_config': {'image_condition_input_channels': 1, 'image_condition_output_channels': 1, 'image_condition_h': 120, 'image_condition_w': 120, 'cond_drop_prob': 0.1}}}, 'autoencoder_params': {'z_channels': 1, 'codebook_size': 8192, 'down_channels': [64, 128, 256, 256], 'mid_channels': [256, 256], 'down_sample': [True, True, True], 'attn_down': [False, False, False], 'norm_channels': 32, 'num_heads': 4, 'num_down_layers': 2, 'num_mid_layers': 2, 'num_up_layers': 2}, 'train_params': {'seed': 142857, 'task_name': 'icd2fc', 'ldm_batch_size': 1, 'autoencoder_batch_size': 64, 'disc_start': 15000, 'disc_weight': 0, 'codebook_weight': 1, 'commitment_beta': 0.2, 'perceptual_weight': 1, 'kl_weight': 5e-06, 'ldm_epochs': 100, 'autoencoder_epochs': 200, 'num_samples': 1, 'num_grid_rows': 1, 'ldm_lr': 5e-06, 'autoencoder_lr': 1e-05, 'autoencoder_acc_steps': 4, 'autoencoder_img_save_steps': 64, 'save_latents': False, 'cf_guidance_scale': 1.0, 'vae_latent_dir_name': 'vae_latents', 'vqvae_latent_dir_name': 'vqvae_latents', 'ldm_ckpt_name': 'ddpm_ckpt_text_image_cond_clip.pth', 'vqvae_autoencoder_ckpt_name': 'vqvae_autoencoder_ckpt.pth', 'vae_autoencoder_ckpt_name': 'vae_autoencoder_ckpt.pth', 'vqvae_discriminator_ckpt_name': 'vqvae_discriminator_ckpt.pth', 'vae_discriminator_ckpt_name': 'vae_discriminator_ckpt.pth'}}
Initializing SPD_VQVAE for matrix size 116...
['hariri', 'rest']
prepare data list: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 19930/19930 [00:19<00:00, 1038.58it/s]
Finished epoch: 1 | Recon Loss : 0.2287 | Codebook : 0.7460 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 2 | Recon Loss : 0.1903 | Codebook : 0.6627 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 3 | Recon Loss : 0.1849 | Codebook : 0.6137 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 4 | Recon Loss : 0.1836 | Codebook : 0.6055 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 5 | Recon Loss : 0.1828 | Codebook : 0.5916 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 6 | Recon Loss : 0.1822 | Codebook : 0.5762 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 7 | Recon Loss : 0.1817 | Codebook : 0.5518 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 8 | Recon Loss : 0.1814 | Codebook : 0.5312 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 9 | Recon Loss : 0.1811 | Codebook : 0.5116 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 10 | Recon Loss : 0.1809 | Codebook : 0.5003 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 11 | Recon Loss : 0.1807 | Codebook : 0.4868 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 12 | Recon Loss : 0.1806 | Codebook : 0.4761 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 13 | Recon Loss : 0.1805 | Codebook : 0.4652 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 14 | Recon Loss : 0.1804 | Codebook : 0.4584 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 15 | Recon Loss : 0.1803 | Codebook : 0.4529 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 16 | Recon Loss : 0.1802 | Codebook : 0.4489 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 17 | Recon Loss : 0.1802 | Codebook : 0.4479 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 18 | Recon Loss : 0.1802 | Codebook : 0.4459 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 19 | Recon Loss : 0.1801 | Codebook : 0.4443 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 20 | Recon Loss : 0.1800 | Codebook : 0.4486 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 21 | Recon Loss : 0.1800 | Codebook : 0.4505 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 22 | Recon Loss : 0.1799 | Codebook : 0.4555 | G Loss : 0.0000 | D Loss 0.0000
